Timestamp,Year Group,Room,RoomDecor,RoomLearn
7/25/2025,Year 11,TD1,7,10
7/25/2025,Year 11,CR4,8,8
7/25/2025,Year 11,A19,3,10
7/25/2025,Year 11,L4,7,8
7/25/2025,Year 11,A13,2,8
7/25/2025,Year 11,LS3,7,9
7/25/2025,Year 11,L6,4,8
7/26/2025,Year 11,LS2,8,8
7/26/2025,Year 11,B3,8,8
,Year 11,L2,8,8
7/26/2025,Year 11,L2,9,10
,Year 11,LIB1,7,7
,Year 11,L3,7,7
,Year 11,A11,7,7
,Year 11,A12,7,7
,Year 11,A13,7,7
,Year 11,A14,7,7
,Year 11,A15,7,7
,Year 11,A16,7,7
,Year 11,A17,7,7
,Year 11,A18,7,7
,Year 11,A19,7,7
7/28/2025,Year 11,A16,5,10
7/28/2025,Year 11,A19,1,1
7/28/2025,Year 11,L3,8,9
7/28/2025,Year 11,L3,10,10
7/28/2025,Year 11,B2,7,7
7/28/2025,Year 11,LIB1,2,9
7/28/2025,Year 11,D4,10,3
7/28/2025,Year 11,A13,2,10
7/28/2025,Year 11,L1,7,9
7/28/2025,Year 11,A2,1,1
7/29/2025,Year 8,CR1,8,9
7/29/2025,Year 8,A19,2,8
7/29/2025,Year 10,D4,7,7
7/29/2025,Year 10,A16,1,10
7/29/2025,Year 8,B2,7,8
7/29/2025,Year 8,B2,8,7
7/29/2025,Year 10,A14,3,8
7/29/2025,Year 8,B2,8,9
7/29/2025,Year 8,A16,4,10
7/29/2025,Year 8,A14,6,8
7/29/2025,Year 8,B2,9,10
7/29/2025,Year 8,B2,7,8
7/29/2025,Year 10,B4,6,8
,Year 10,A14,6,8
,Year 10,DR1,6,8
7/29/2025,Year 8,A13,3,9
7/29/2025,Year 10,B5,8,8
7/29/2025,Year 10,B2,8,10
7/29/2025,Year 10,B2,5,5
7/29/2025,Year 8,B2,5,8
,Year 8,L4,5,8
7/29/2025,Year 11,A7,7,9
7/29/2025,Year 8,B2,8,8
7/29/2025,Year 11,CR1,10,10
7/29/2025,Year 8,B1,8,8
7/29/2025,Year 8,CR4,8,8
,Year 8,B2,8,8
7/29/2025,Year 8,D4,6,8
7/29/2025,Year 10,A17,4,7
7/29/2025,Year 8,B2,9,9
7/29/2025,Year 8,B2,8,10
